age,job,marital,education,default,balance
30,unemployed,married,primary,no,1787
33,services,married,secondary,no,4789
35,management,single,tertiary,no,1350
30,management,married,tertiary,no,1476
59,blue-collar,married,secondary,no,0
35,management,single,tertiary,no,747
36,self-employed,married,tertiary,no,307
39,technician,married,secondary,no,147
41,entrepreneur,married,tertiary,no,221
43,services,married,primary,no,-88
39,services,married,secondary,no,9374
43,admin.,married,secondary,no,264
36,technician,married,tertiary,no,1109
20,student,single,secondary,no,502
31,blue-collar,married,secondary,no,360
40,management,married,tertiary,no,194
56,technician,married,secondary,no,4073
37,admin.,single,tertiary,no,2317
25,blue-collar,single,primary,no,-221
31,services,married,secondary,no,132
38,management,divorced,unknown,no,0
42,management,divorced,tertiary,no,16
44,services,single,secondary,no,106
44,entrepreneur,married,secondary,no,93
26,housemaid,married,tertiary,no,543
41,management,married,tertiary,no,5883
55,blue-collar,married,primary,no,627
67,retired,married,unknown,no,696
56,self-employed,married,secondary,no,784
53,admin.,married,secondary,no,105
68,retired,divorced,secondary,no,4189
31,technician,married,secondary,no,171
59,management,married,secondary,no,42
32,management,single,tertiary,no,2536
49,technician,married,tertiary,no,1235
42,admin.,divorced,secondary,no,1811
78,retired,divorced,primary,no,229
32,blue-collar,married,secondary,no,2089
33,management,married,secondary,no,3935
23,services,single,tertiary,no,363
38,management,single,tertiary,no,11971
36,management,single,tertiary,no,553
52,blue-collar,married,secondary,no,1117
32,technician,married,tertiary,no,396
32,technician,single,tertiary,no,2204
34,management,single,tertiary,no,872
55,blue-collar,married,primary,no,145
26,blue-collar,married,primary,no,0
32,entrepreneur,single,primary,yes,-849
61,admin.,married,unknown,no,4629
45,blue-collar,divorced,primary,no,844
37,technician,single,secondary,no,228
38,technician,single,secondary,no,50
34,technician,married,tertiary,no,1539
53,blue-collar,married,secondary,no,2231
48,admin.,married,secondary,no,3064
57,management,married,secondary,no,82
33,self-employed,single,tertiary,no,2155
36,retired,single,secondary,no,101
54,technician,divorced,secondary,no,784
41,blue-collar,married,primary,no,-516
63,retired,married,secondary,no,415
48,management,married,tertiary,no,5887
48,services,married,secondary,no,1355
56,admin.,married,secondary,no,16873
51,blue-collar,divorced,secondary,no,203
31,services,married,secondary,no,338
