Sl. No.,Test.Set.Name,Test.Name,Test.Id,Req.Id,Requirement.Name,LastCycleID,LastCycle.1.Runstatus,RegWt,ReqSize,ReqQuality,ActualResult,PredictedResult
1,ADR FIDS,[1]CR_4605_001_FCO_FIDS_Create Departure Flight,9665,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
2,ADR FIDS,[1]CR_4605_002_FCO_FIDS_Create Arrival Flight,9666,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
3,ADR FIDS,[1]CR_4605_003_FCO_FIDS_Create Departure Flight_with invalid details,9667,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
4,ADR FIDS,[1]CR_4605_004_FCO_FIDS_Create Arrival Flight_with invalid details,9668,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
5,ADR FIDS,[1]CR_4605_005_FCO_FIDS_Create Departure Flight with same origin and destination,9669,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,3,0,0,3,1,0,0
6,ADR FIDS,[1]CR_4605_010_FCO_FIDS_Update the departure flight,9674,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
7,ADR FIDS,[1]CR_4605_012_FCO_FIDS_Update the departure flight with invalid details,9676,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
8,ADR FIDS,[1]CR_4605_016_FCO_FIDS_Cancel the flight using cancel operation,9680,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
9,ADR FIDS,[1]CR_4605_019_FCO_FIDS_Arrive the flight,9683,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,4,0,0,3,1,0,0
10,ADR FIDS,[1]CR_4605_022_FCO_FIDS_Reopen the Departed or arrived flight,9686,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,3,0,0,3,1,0,0
11,ADR FIDS,[1]CR_4605_023_FCO_FIDS_Reopen the Cancelled flight,9782,6535,QC4605-ADR FIDS Interface from MQ Server in FCO(Rome) Airport,3,0,0,3,1,0,0
12,WS_ArrivalFlightMonitor_StationUsers_FilterValiadtion,[1]WS_001_Arrival Flight Monitor_Query_Verify that station dropdown should be enabled for multi station user also verify the airports,9892,6537,Arrival Scanning -> Arrival Flight Monitor,21,0,373718,3,3,0,1
13,WS_ArrivalFlightMonitor_StationUsers_FilterValiadtion,[1]WS_002_Arrival Flight Monitor_Query_Verify that station dropdown should be disabled for single handled user,9893,6537,Arrival Scanning -> Arrival Flight Monitor,14,0,0,3,3,0,0
14,WS_ArrivalFlightMonitor_StationUsers_FilterValiadtion,[1]WS_003_Arrival Flight Monitor_Query_Verify the ETA range and verify that flights and Arrival bags should be displayed according to ETA range,9894,6537,Arrival Scanning -> Arrival Flight Monitor,16,0,8192,3,3,0,1
15,QC 6433,[1]WS_003_Arrival Flight Monitor_Query_Verify the ETA range and verify that flights and Arrival bags should be displayed according to ETA range,9894,6537,Arrival Scanning -> Arrival Flight Monitor,16,0,8192,3,3,0,1
16,WS_ArrivalFlightMonitor_StationUsers_FilterValiadtion,[1]WS_004_Arrival Flight Monitor_Query_Verify the Historical range and verify that flights and arrival bags should be displayed according to Historical range,9895,6537,Arrival Scanning -> Arrival Flight Monitor,15,1,16384,3,3,0,1
17,QC 6433,[1]WS_004_Arrival Flight Monitor_Query_Verify the Historical range and verify that flights and arrival bags should be displayed according to Historical range,9895,6537,Arrival Scanning -> Arrival Flight Monitor,15,1,16384,3,3,0,1
18,WS_ArrivalFlightMonitor_StationUsers_FilterValiadtion,[1]WS_005_Arrival Flight Monitor_Query_Verify the Terminal and Zone  and verify that flights and arrival bags should be displayed according to selected query,9896,6537,Arrival Scanning -> Arrival Flight Monitor,14,0,0,3,3,0,0
19,QC 6433,[1]WS_006_Flight Monitor_Verify the Arrival Flight Status Filters,9897,6537,Arrival Scanning -> Arrival Flight Monitor,1,0,0,0,0,0,0
20,WS_ArrivalFlightMonitor_StationUsers_FilterValiadtion,[1]WS_007_Arrival Flight Monitor_Verify the Selected Flights only checkbox,9898,6537,Arrival Scanning -> Arrival Flight Monitor,14,0,256,3,3,0,1
21,QC 6433,[1]WS_008_Arrival Flight Monitor_GUI validation_Verify the alignment and Flight section,9899,6537,Arrival Scanning -> Arrival Flight Monitor,0,0,0,0,0,0,0
22,QC 6433,[1]WS_010_Arrival Flight Monitor_GUI validation_Verify the color of the ETA ATA column,9901,6537,Arrival Scanning -> Arrival Flight Monitor,0,0,0,0,0,0,0
23,QC 6433,[1]WS_016_Arrival Flight Monitor_Bag Count_Verify the count of Due  _Unloaded T n C bags when no bags are scanned,9907,6537,Arrival Scanning -> Arrival Flight Monitor,2,0,0,3,3,0,0
24,Arrival Scanning,[1]WS_016_Arrival Flight Monitor_Bag Count_Verify the count of Due  _Unloaded T n C bags when no bags are scanned,9907,6537,Arrival Scanning -> Arrival Flight Monitor,2,0,0,3,3,0,0
25,Arrival Scanning,[1]WS_017_Arrival Flight Monitor_Bag Count_Verify the count of Due T n C _Unloaded T n C and  Not Seen when few bags are scanned,9908,6537,Arrival Scanning -> Arrival Flight Monitor,2,0,0,3,3,0,0
26,Arrival Scanning,[1]WS_018_Arrival Flight Monitor_Bag Count_Verify the count of Due T n C _Unloaded T n C and  Not Seen when all bags are scanned,9909,6537,Arrival Scanning -> Arrival Flight Monitor,2,0,0,3,3,0,0
27,Arrival Scanning,[1]WS_019_Arrival Flight Monitor_Verify the Bag count of Due and unloaded Bag T n C when all bags are scanned and there are assigned unknown bags also present,9910,6537,Arrival Scanning -> Arrival Flight Monitor,2,0,0,3,3,0,0
28,QC 6433,[1]WS_020_Arrival Flight Monitor_Verify the count of Hot bags,9911,6537,Arrival Scanning -> Arrival Flight Monitor,0,0,0,0,0,0,0
29,BM6_BAG_TRACK,[1]WS_001_Manage Tracking Location_Add Action Alert with Arrival Action,10062,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
30,BM6_BAG_TRACK,[1]WS_003_Manage Tracking Location_Add Action Alert with Scan Array Action,10064,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
31,BM6_BAG_TRACK,[1]WS_004_Manage Tracking Location_Add Action alert for more than one airline_Verify the Configure for Airline selection dropdown,10065,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
32,BM6_BAG_TRACK,[1]WS_005_Manage Tracking Location_Delete Action Alert with Departure Action,10066,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
33,BM6_BAG_TRACK,[1]WS_006_Manage Tracking Location_Delete Action Alert with Arrival Action,10067,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
34,BM6_BAG_TRACK,[1]WS_009_Manage Tracking Location_Update Action Alert with Departure Action,10070,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
35,BM6_BAG_TRACK,[1]WS_010_Manage Tracking Location_Update Action Alert with Scan Array Action,10071,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
36,BM6_BAG_TRACK,[1]WS_011_Manage Tracking Location_Track Location type_Verify the options available when Track Location type is set as Arrival,10072,6539,Arrival Scanning -> Manage Tracking Locations,6,0,0,3,1,0,0
