ReqID,Test Id,RegWt,ReqSize,ReqQuality,Result
4,16183,2,1,3,0
4,16184,0,1,3,0
4,16185,0,1,3,0
4,16186,0,1,3,0
4,16187,0,1,3,0
4,16188,0,1,3,0
4,16189,32,1,3,1
4,16190,2,1,3,0
4,16191,2,1,3,0
4,16192,2,1,3,0
4,16193,0,1,3,0
4,16194,14,1,3,0
4,16195,2,1,3,0
4,16196,38,1,3,1
4,16197,14,1,3,0
4,16198,2,1,3,0
4,16199,0,1,3,0
4,16200,0,1,3,0
4,16201,0,1,3,0
4,16202,14,1,3,0
4,16203,0,1,3,0
4,16204,38,1,3,1
4,16205,14,1,3,0
1,16211,6,3,3,1
1,16213,0,3,3,0
1,16214,62,3,3,1
1,16215,62,3,3,1
3,16227,2,1,3,0
3,16228,0,1,3,0
3,16229,0,1,3,0
3,16230,0,1,3,0
3,16231,0,1,3,0
3,16232,0,1,3,0
3,16233,32,1,3,1
3,16234,2,1,3,0
3,16235,2,1,3,0
3,16236,2,1,3,0
3,16237,0,1,3,0
3,16238,14,1,3,0
3,16239,2,1,3,0
3,16240,38,1,3,1
3,16241,14,1,3,0
3,16242,2,1,3,1
3,16243,34,1,3,1
3,16244,34,1,3,1
3,16245,0,1,3,0
3,16246,14,1,3,0
3,16247,34,1,3,1
3,16248,38,1,3,1
3,16249,14,1,3,0
5,18340,0,3,1,0
5,18341,0,3,1,0
5,18342,0,3,1,0
5,18343,0,3,1,0
5,18344,0,3,1,0
5,18345,0,3,1,0
5,18346,0,3,1,0
5,18347,0,3,1,0
5,18374,0,3,1,0
5,18375,0,3,1,0
6,18376,0,2,2,0
6,18377,0,2,2,0
6,18378,14,2,2,0
6,18379,0,2,2,0
6,18380,0,2,2,0
6,18381,0,2,2,0
6,18382,0,2,2,0
21,18385,0,3,1,0
21,18386,0,3,1,0
21,18387,0,3,1,0
21,18388,0,3,1,0
21,18389,0,3,1,0
21,18390,0,3,1,0
21,18391,0,3,1,0
21,18392,0,3,1,0
6,18393,0,2,2,0
6,18394,0,2,2,0
6,18395,0,2,2,0
6,18396,0,2,2,0
6,18397,62,2,2,0
6,18398,0,2,2,0
21,18399,0,3,1,0
21,18400,0,3,1,0
17,18697,0,3,1,0
17,18698,0,3,1,0
17,18699,0,3,1,0
17,18700,0,3,1,0
17,18701,0,3,1,0
17,18702,0,3,1,0
17,18703,0,3,1,0
17,18704,0,3,1,0
17,18705,0,3,1,0
17,18706,0,3,1,0
17,18707,0,3,1,0
10,18708,8,3,1,0
10,18709,0,3,1,0
10,18710,0,3,1,0
10,18711,0,3,1,0
10,18712,0,3,1,0
10,18713,0,3,1,0
10,18714,0,3,1,0
10,18715,0,3,1,0
10,18716,0,3,1,0
10,18717,0,3,1,0
12,18723,0,2,1,0
12,18724,0,2,1,0
12,18725,0,2,1,0
12,18726,0,2,1,0
12,18727,0,2,1,0
12,18728,0,2,1,0
22,18754,0,3,1,0
22,18755,0,3,1,0
22,18756,0,3,1,0
22,18757,0,3,1,0
22,18758,0,3,1,0
12,18761,0,2,1,0
12,18762,0,2,1,0
12,18763,0,2,1,0
12,18764,0,2,1,0
16,19740,0,3,1,0
16,19741,0,3,1,0
16,19742,0,3,1,0
16,19743,0,3,1,0
16,19744,0,3,1,0
16,19745,0,3,1,0
16,19746,0,3,1,0
16,19747,0,3,1,0
15,19750,0,2,1,0
15,19751,0,2,1,0
15,19752,0,2,1,0
15,19753,0,2,1,0
15,19754,0,2,1,0
8,19755,0,3,1,0
8,19756,0,3,1,0
8,19757,0,3,1,0
8,19758,2,3,1,0
9,19782,0,3,1,0
9,19783,0,3,1,0
9,19784,0,3,1,0
9,19785,2,3,1,0
15,19786,0,2,1,0
15,19787,0,2,1,0
15,19788,0,2,1,0
15,19789,0,2,1,0
15,19790,0,2,1,0
15,19791,0,2,1,0
15,19792,0,2,1,0
11,19794,0,3,1,0
11,19795,0,3,1,0
11,19795,0,3,1,0
11,19796,0,3,1,0
11,19797,0,3,1,0
11,19798,2,3,1,0
11,19799,0,3,1,0
11,19800,0,3,1,0
11,19801,0,3,1,0
11,19802,0,3,1,0
11,19803,0,3,1,0
9,19809,0,3,1,0
9,19811,0,3,1,0
12,19828,0,2,1,0
12,19829,0,2,1,0
12,19830,0,2,1,1
19,19831,0,3,1,0
19,19832,0,3,1,0
19,19833,0,3,1,0
19,19834,0,3,1,0
19,19835,0,3,1,0
19,19836,0,3,1,0
19,19837,0,3,1,0
19,19838,0,3,1,0
